year,annual_int
2010,0.0469
2011,0.0445
2012,0.0366
2013,0.0398
2014,0.0417
2015,0.0385
2016,0.0365
2017,0.0399
2018,0.0454
2019,0.0394
2020,0.0311
2021,0.0296
2022,0.0452
